Idiom,Meaning,Transliteration
A storm in a teacup,A big fuss about a small problem,A storm in a teacup
An apple a day keeps the doctor away,Apples are good for you,An apple a day keeps the doctor away
An ounce of prevention is worth a pound of cure,You can prevent a problem with little effort. Fixing it later is harder.,An ounce of prevention is worth a pound of cure
As right as rain,Perfect,As right as rain
Bolt from the blue,Something that happened without warning,Bolt from the blue
Burn bridges,Destroy relationships,Burn bridges
Calm before the storm,"Something bad is coming, but right now it's calm",Calm before the storm
Come rain or shine,No matter what,Come rain or shine
Curiosity killed the cat,Stop asking questions,Curiosity killed the cat
Cut the mustard,Do a good job,Cut the mustard
Don't beat a dead horse,"Move on, this subject is over",Don't beat a dead horse
Every dog has his day,Everyone gets a chance at least once,Every dog has his day
Familiarity breeds contempt,The better you know someone the less you like him,Familiarity breeds contempt
Fit as a fiddle,In good health,Fit as a fiddle
Fortune favours the bold,Take risks,Fortune favours the bold
Get a second wind,Have more energy after having been tired,Get a second wind
Get wind of something,Hear news of something secret,Get wind of something
Go down in flames,Fail spectacularly,Go down in flames
Haste makes waste,You'll make mistakes if you rush through something,Haste makes waste
Have your head in the clouds,Not be concentrating,Have your head in the clouds
He who laughs last laughs loudest,I'll get you back for what you did,He who laughs last laughs loudest
Hear something straight from the horse's mouth,Hear something from the person involved,Hear something straight from the horse's mouth
He's not playing with a full deck,He's dumb,He's not playing with a full deck
He's off his rocker,He's crazy,He's off his rocker
He's sitting on the fence,He can't make up his mind,He's sitting on the fence
It is a poor workman who blames his tools,"If you can't do the job, don't blame it on others",It is a poor workman who blames his tools
It is always darkest before the dawn,Things are going to get better,It is always darkest before the dawn
It takes two to tango,One person alone isn't responsible. Both people are involved.,It takes two to tango
Jump on the bandwagon,"Follow a trend, do what everyone else is doing",Jump on the bandwagon
Know which way the wind is blowing,Understand the situation (usually negative),Know which way the wind is blowing
Leave no stone unturned,Look everywhere,Leave no stone unturned
Let sleeping dogs lie,Stop discussing an issue,Let sleeping dogs lie
Like riding a bicycle,Something you never forget how to do,Like riding a bicycle
Like two peas in a pod,They're always together,Like two peas in a pod
Make hay while the sun shines,Take advantage of a good situation,Make hay while the sun shines
On cloud nine,Very happy,On cloud nine
"Once bitten, twice shy",You're more cautious when you've been hurt before,"Once bitten, twice shy"
Out of the frying pan and into the fire,Things are going from bad to worse,Out of the frying pan and into the fire
Run like the wind,Run fast,Run like the wind
Shape up or ship out,Work better or leave,Shape up or ship out
Snowed under,Busy,Snowed under
That ship has sailed,It's too late,That ship has sailed
The pot calling the kettle black,Someone criticizing someone else he is just as bad,The pot calling the kettle black
There are clouds on the horizon,Trouble is coming,There are clouds on the horizon
Those who live in glass houses shouldn't throw stones,People who are morally questionable shouldn't criticize others,Those who live in glass houses shouldn't throw stones
Through thick and thin,In good times and in bad times,Through thick and thin
Time is money,Work quickly,Time is money
"Waste not, want not",Don't waste things and you'll always have enough,"Waste not, want not"
We see eye to eye,We agree,We see eye to eye
Weather the storm,Go through something difficult,Weather the storm
Well begun is half done,Getting a good start is important,Well begun is half done
When it rains it pours,Everything is going wrong at once,When it rains it pours
You can catch more flies with honey than you can with vinegar,You'll get what you want by being nice,You can catch more flies with honey than you can with vinegar
"You can lead a horse to water, but you can't make him drink",You can't force someone to make the right decision,"You can lead a horse to water, but you can't make him drink"
You can't make an omelet without breaking some eggs,There's always a cost to doing something,You can't make an omelet without breaking some eggs
